acceptance_rate,application_deadline,career_resources_rating,city,city_cost_index,country_code,description,feature_tags,founded_year,id,international_students_page,logo_url,major_tags,notable_alumni,portfolio_difficulty,program_count,qs_architecture_built_environment_rank,qs_art_design_rank,qs_art_humanities_rank,qs_history_of_art_rank,qs_overall_rank,raw_country,strength_disciplines,tuition_usd_per_year
0.05,Varies by program,4,Beijing,3,CN,清华大学美术学院，前身为中央工艺美术学院，成立于1956年，1999年并入清华大学，是中国第一所艺术设计高等学府。学院历史悠久，学科齐全，教学科研设施完善，享誉海内外。,公立|艺术设计|综合大学下属学院,1956,771bd252-5afa-40ca-b335-ebd7082e9473,https://www.enad.tsinghua.edu.cn/Admissions.htm,https://www.enad.tsinghua.edu.cn/img/logo.svg,"[{""category"":""design"",""tags"":[""textile_fashion"",""ceramic"",""visual_communication"",""environmental_art"",""industrial"",""information_art""]},{""category"":""fine_arts"",""tags"":[""painting"",""sculpture""]},{""category"":""art_history"",""tags"":[""art_history""]}]","庞薰琹, 王小丁, 何静, 刘北光",5,20,,25,,3,25,中国,设计|美术|艺术理论|纺织服装设计|陶瓷设计|视觉传达设计|环境艺术设计|工业设计|工艺美术|信息艺术设计|绘画|雕塑|艺术史论,5500
0.9,Varies by program,3,Tempe,3,US,亚利桑那州立大学艺术学院是美国一所知名的艺术学府，隶属于赫伯格设计与艺术学院。学院提供多样化的艺术课程，致力于培养学生的创造力和批判性思维。其位于坦佩校区，为学生提供丰富的学术资源和实践机会。,公立|综合大学下属艺术学院,1885,dcbcea12-455b-4e78-902c-25586623fbde,https://admission.asu.edu/international/undergrad-student,,,"Barbara Barrett, Herbie Behm, Willie Bloomquist, Marc Briggs, Michael Burns, Malissia Clinton, Reka Cseresnyes, Matthew Desmond, Christine Devine, Kenny Dillingham, Doug Ducey, Missy Farr-Kaye, Mary Lou Fulton, Mary Temple Grandin, Gregory Haile, Derrick Hall, Jan Henne-Hawkins, Zeke Jones, Vada Manager, Aaron Matos, Ruth McGregor, Al Michaels, Phil Mickelson, Harriet Nembhard, Anthony Robles, Petra Pardi, Ed Pastor, Greg Powers, Edward “Joe” Shoen, Kyrsten Sinema, Kate Spade, Brenda Strong, Ayọ Tometi, Matt Thurmond, Pat Tillman, Danny White, Jeri Williams, Ryan Wood, Margaret H. Woodward, Peterson Zah",3,18,,,,,179,美国,,37167
,,3,Porto Alegre,3,BR,联邦南大河州大学艺术学院位于南大河州首府阿雷格里港。学院成立于1908年，最初名为“自由美术学院”，是巴西历史最悠久的艺术高等学府之一。目前设有视觉艺术、音乐和戏剧艺术系，拥有百余名教授和约1600名学生。,公立|艺术设计,1908,e56d9045-f5ab-40a4-baa4-163d4d82afff,http://www.ufrgs.br/relinter/english/applying-to-ufrgs,,,,3,,,,,,691,巴西,视觉艺术|音乐|戏剧艺术,1030
0.91,Varies by program,4,Auckland,4,NZ,奥克兰理工大学（AUT）是新西兰一所充满活力的综合性大学，其艺术与设计学院在新西兰处于领先地位。学校注重实践教学和行业联系，为学生提供丰富的实习和项目机会。AUT在QS世界大学排名中表现出色，尤其在国际视野、体育相关学科、酒店与休闲管理等领域享有盛誉。其艺术与设计专业强调原创性、创造力和设计思维，培养学生在真实世界中解决问题的能力。,公立|综合大学|艺术设计,1895,d0a13c23-c3d4-4cfb-a372-f3f9ea839c9b,https://www.aut.ac.nz/international,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Logo_of_Auckland_University_of_Technology.svg/1200px-Logo_of_Auckland_University_of_Technology.svg.png,"[{""category"":""design"",""tags"":[""fashion"",""visual_communication"",""digital_design"",""product_design"",""spatial_design""]},{""category"":""art"",""tags"":[""visual_arts"",""photography"",""intermedia""]}]","Bruce McLaren, David Farrier, Angela Cullen, Ali Williams, Peter Thomson, Jim Anderton",4,10,260,300,373,,410,新西兰,设计|视觉艺术|时尚设计|数字设计,26548
,,3,Cairo,3,EG,赫勒万大学应用艺术学院是埃及历史悠久的设计院校之一，起源于1839年。学院在艺术、设计科学和技术领域提供卓越的教育和研究，旨在培养创新型人才。学院拥有十四个学术系和七个特色课程，致力于为学生提供与时俱进的知识和技能，以满足就业市场需求。,公立|艺术设计,1839,5290253e-55da-4391-88f3-f4b55c1cdd11,https://applied-arts.capu.edu.eg/en/students-en,https://applied-arts.capu.edu.eg/images/applied-arts.png,"[{""category"":""design"",""tags"":[""multimedia_printing"",""packaging_science"",""furniture_design"",""glass_design"",""apparel"",""textile_printing"",""spinning_weaving"",""sculpture"",""decoration"",""ceramics"",""metal_products_jewelry"",""industrial_design"",""interior_design"",""advertising"",""print_publishing"",""photography_cinema_television""]}]",,3,18,,,,,,埃及,多媒体印刷|包装科学|家具设计|玻璃设计|服装|纺织印染|纺织|雕塑|装饰|陶瓷|金属制品与珠宝|工业设计|室内设计|广告|出版|摄影电影电视,3500
0.91,Varies by program,3,Los Angeles,4,US,加州州立大学洛杉矶分校艺术系为学生提供视觉艺术领域的知识和技能培养，旨在为教学、商业和工业等多个专业领域以及艺术深造做好准备。该系提供学士、硕士和艺术硕士学位课程，以及艺术辅修和时尚、纤维与材料证书课程。,公立|艺术设计|综合大学院系,1947,f740eeda-ac36-43bb-b687-e4079d3d61c5,https://www.calstatela.edu/admissions/international-applicants,https://www.calstatela.edu/sites/default/files/CalStateLA-with-Eagle-Logotype-1793x287.png,"[{""category"":""design"",""tags"":[""animation"",""graphic_design"",""fashion"",""fiber"",""materials""]},{""category"":""fine_arts"",""tags"":[""studio_arts"",""ceramics"",""photography"",""painting"",""printmaking"",""sculpture""]},{""category"":""art_history"",""tags"":[""art_history""]},{""category"":""art_education"",""tags"":[""art_education""]}]","Billie Jean King, Helen Hunt, Alfonso Ribeiro, Edward James Olmos, Robert Redford",3,,,,,,,美国,动画|平面设计|时尚|纯艺术|艺术史|艺术教育,19764
0.46,Fall: Oct 1-Apr 1; Spring: Aug 1-Oct 1,3,Long Beach,4,US,加州州立大学长滩分校艺术学院（CSULB College of the Arts）是美国西部最大的公立艺术学院之一，提供音乐、舞蹈、戏剧、电影、设计和艺术等多个领域的本科和研究生课程。学院以其多元化的艺术教育、实践机会和对社区的贡献而闻名，致力于培养具有创造力和社会责任感的艺术家和设计师。,公立|艺术设计|综合大学下属学院,1949,c2607cfe-2086-48b7-a9be-6d343019a3a9,https://www.csulb.edu/international/future-students,/home/ubuntu/upload/search_images/G9UBeNG3Lge7.png,"[{""category"":""music"",""tags"":[""music""]},{""category"":""film"",""tags"":[""cinematography"",""documentary_production"",""critical_studies"",""directing"",""post_production"",""producing"",""screenwriting""]},{""category"":""dance"",""tags"":[""dance""]},{""category"":""design"",""tags"":[""industrial_design"",""interior_design"",""graphic_design"",""fashion_design""]},{""category"":""theater"",""tags"":[""theatre_arts""]}]",4 CSULB Alums Named to Interior Design Magazine 30 Under 30 List,3,,,,,,1401,美国,音乐|电影|舞蹈|设计|戏剧,19646
0.92,"May 31 (Fall Admission), October 31 (Spring Admission) for graduate international students",3,Northridge,4,US,加州州立大学北岭分校艺术与设计系提供动画、艺术教育、艺术史、陶瓷、绘画、传达设计、插画、油画、摄影、版画、雕塑和视频等本科专业，并提供视觉艺术硕士学位。该系致力于培养学生在视觉艺术领域的知识、技能和批判性思维。,公立|综合大学院系|艺术设计,1958,f549c16a-b5dc-40c8-bfd1-f6db456d5c33,https://www.csun.edu/admissions-financial-aid/how-to-apply/international-students,https://www.csun.edu/sites/default/files/csun-logo-white.png,"[{""category"":""design"",""tags"":[""animation"",""communication_design"",""illustration"",""photography"",""video""]},{""category"":""fine_arts"",""tags"":[""ceramics"",""drawing"",""painting"",""printmaking"",""sculpture""]},{""category"":""art_history"",""tags"":[""art_history""]},{""category"":""art_education"",""tags"":[""art_education""]}]",Samantha and Mark Sirota,3,11,,,,,,美国,动画|传达设计|插画|油画|摄影|雕塑|陶瓷|版画|艺术史|艺术教育,36460
0.05,"Bachelor degree program: March & April; Master degree program: November; Doctoral Degree program: March; Foundation Course: March to June (one academic year), October to December (half year)",4,Beijing,4,CN,中央美术学院是教育部直属的中国唯一一所高等美术学校，可追溯至1918年。设有中国画、油画、雕塑、设计、建筑等十六个专业院系，涵盖本科、硕士、博士及留学生教育，致力于建设现代形态美术教育学科结构。,公立|艺术设计,1918,24dab8e3-71ce-4ed7-bf87-08a7aaaf6bd8,http://global.cafa.edu.cn/study/apply/,,"[{""category"":""fine_arts"",""tags"":[""chinese_painting"",""calligraphy"",""painting"",""sculpture"",""mural_painting"",""experimental_art"",""photography"",""fine_arts_theory"",""art_history"",""cultural_industry_management"",""animation"",""public_art"",""art_and_technology"",""cultural_heritage_conservation_and_restoration"",""craft_art"",""art_education"",""art_management""]},{""category"":""design"",""tags"":[""visual_communication_design"",""industrial_design"",""product_design"",""digital_media_art"",""fashion_and_jewelry_design"",""environmental_design"",""urban_design"",""architecture"",""landscape_architecture"",""film_and_television_photography_and_production""]}]","齐白石,黄宾虹,潘天寿,林风眠,徐悲鸿,吴作人,靳尚谊",5,30,,14,,,300,中国,中国画|油画|雕塑|设计|建筑|实验艺术|视觉传达设计|工业设计|产品设计|数字媒体艺术|服装与服饰设计|摄影|美术学|艺术史论|文化产业管理|建筑学|风景园林设计|影视摄影与制作|环境设计|公共艺术|动画|艺术管理|艺术与科技|文物保护与修复|工艺美术|艺术设计学|艺术教育|城市设计|科技艺术|美术教育,8000
0.05,Varies by program,5,London,5,GB,中央圣马丁艺术与设计学院是伦敦艺术大学的组成学院，是世界领先的艺术与设计教育中心之一。学院以其毕业生和师生的创造力而闻名，提供预科、本科和研究生课程，涵盖艺术、设计、时尚、平面设计、珠宝、纺织等多个领域。,公立|艺术设计|作品集导向,1854,9846a847-090b-4d04-ab1b-f46aa8169f15,https://www.arts.ac.uk/study-at-ual/international,https://www.arts.ac.uk/__data/assets/image/0027/372915/DSC_5434_a1322dd5-c58a-4c36-b0f4-5d9ec005e246.jpg,"[{""category"":""design"",""tags"":[""fashion"",""graphic_communication"",""jewellery"",""textile"",""product"",""ceramic"",""industrial""]},{""category"":""art"",""tags"":[""fine_art""]}]","John Galliano, Stella McCartney, Alexander McQueen, Zac Posen, Riccardo Tisci, Jarvis Cocker, Laure Prouvost",5,54,,2,,,,英国,时尚设计|平面设计|纯艺术|珠宝设计|纺织设计,41538
